1	0
2	1
3	3
4	6
5	9
6	11
7	13
8	14
9	17
10	18
11	22
12	26
13	27
14	27
15	32
16	26
17	31
18	38
19	40
20	37
21	41
22	41
23	52
24	50
25	58
26	55
27	68
28	55
29	61
30	62
31	54
32	57
33	60
34	77
35	76
36	77
37	77
38	80
39	80
40	106
41	91
42	79
43	91
44	104
45	100
46	98
47	93
48	118
49	116
50	107
51	111
52	144
53	116
54	107
55	142
56	129
57	138
58	148
59	139
60	123
61	137
62	133
63	136
64	155
65	148
66	165
67	149
68	128
69	148
70	187
71	150
72	163
73	152
74	165
75	164
76	208
77	192
78	178
79	157
80	161
81	160
82	180
83	164
84	161
85	218
86	199
87	186
88	185
89	197
90	194
91	214
92	225
93	199
94	192
95	224
96	231
97	185
98	222
99	208
