1	2
2	4
3	5
4	7
5	9
6	11
7	13
8	15
9	17
10	19
11	21
12	23
13	25
14	27
15	29
16	31
17	33
18	34
19	37
20	38
21	40
22	42
23	44
24	46
25	48
26	50
27	52
28	54
29	56
30	58
31	60
32	62
33	64
34	65
35	67
36	70
37	71
38	73
39	75
40	77
41	79
42	81
43	83
44	85
45	87
46	89
47	91
48	93
49	95
50	96
51	98
52	101
53	102
54	104
55	106
56	108
57	110
58	113
59	114
60	116
61	118
62	120
63	122
64	124
65	126
66	128
67	130
68	131
69	134
70	135
71	137
72	138
73	141
74	143
75	145
76	147
77	149
78	151
79	153
80	155
81	156
82	158
83	161
84	163
85	165
86	167
87	169
88	170
89	172
90	174
91	176
92	178
93	180
94	182
95	184
96	185
97	187
98	190
99	192
100	193
